,sentence,label,data_type,preictions,references
1277,"Its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .",1.0,val,,
1281,Kemira shares closed at (  x20ac ) 16.66 ( $ 22US .71 ) .,1.0,val,,
1289,( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . ),1.0,val,,
1291,"Luna took fifth place on six-under 207 , a shot behind Spain 's Beatriz Recari and Germany 's Martina Eberl , while Welsh player Becky Brewerton was the highest-placed British finisher , sharing seventh place on three-under 210 after shooting 71 .",1.0,val,,
1295,"May 29 , 2010 ( CompaniesandMarkets.com delivered by Newstex ) -- This report provides key data and information on the meat , fish and poultry market in Finland .",1.0,val,,
1297,"Mercator will use the software for its logistic , retail and wholesale operations in Slovenia and its other markets in southeastern Europe .",1.0,val,,
1303,Negotiations with representatives of the personnel regarding the restructuring process have now been ended .,1.0,val,,
1306,"Niina Nenonen , Marimekko 's current director for clothing , bags and accessories lines , will take up this role .",1.0,val,,
1315,NWC ANALYSIS :,1.0,val,,
1326,"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros .",1.0,val,,
1327,Other details were not provided .,1.0,val,,
1330,Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland .,1.0,val,,
1344,"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze .",1.0,val,,
1345,"Retail chain Suomen L+ñhikauppa was given the index 5.8 , airline SAS 5.8 , TeliaSonera 's broadband 6.1 , German retail chain Lidl 6.1 , Tele Finland 's mobile subscriptions 6.1 , Tallink shipping line 6.3 , and power company Helsinki Energy 6.3 .",1.0,val,,
1374,"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co. .",1.0,val,,
1375,"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",1.0,val,,
1381,The bond has a value of EUR150m and a maturity of 4 years .,1.0,val,,
1386,"The changes will take effect on 1 January 2010 , and they are not estimated to have an impact on the number of employees .",1.0,val,,
1391,The company did not disclose the price of the acquisition .,1.0,val,,
1396,"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",1.0,val,,
1402,The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .,1.0,val,,
1422,The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,1.0,val,,
1431,"The facility will be used to refinance Citycon 's existing credit facility , the company said .",1.0,val,,
1434,The financial details of the transaction were not disclosed .,1.0,val,,
1436,The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com .,1.0,val,,
1438,"The firm 's services include copying , printing , CAD-modelling , digital printing , scanning , SokoPro project bank and courier services .",1.0,val,,
1441,"The flagship will open this fall in Manhattan 's Flatiron District in the `` Toy Building , '' at 200 Fifth Avenue .",1.0,val,,
1457,"The market value of one crane is some USD6m , reported the Finnish news agency STT .",1.0,val,,
1459,"The maximum obligated total trades per day is ISK 400,000,000 market value .",1.0,val,,
1465,"The new company , DiaPol S.r.l. , would manufacture tools meant for glass and stone pre-processing .",1.0,val,,
1466,"The new Kroksberg railway tunnel will be built on a new section of track between Harnosand and Veda , forming part of the line that follows the coast of the Gulf of Bothnia .",1.0,val,,
1472,The online ice chart shows no ice in the area of Estonia 's sea ports on the coast of the Gulf of Finland .,1.0,val,,
1475,The order is related to renewing the network of the telecommunications operator .,1.0,val,,
1477,The passenger tunnel is expected to be put into operation in 2009 .,1.0,val,,
1478,The plant is expected to enter commercial operation by mid-2009 .,1.0,val,,
1485,The power generated annually by Loviisa covers about 10 % of Finland 's electricity consumption .,1.0,val,,
1492,The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release .,1.0,val,,
1494,The reductions will be concluded by autumn 2010 .,1.0,val,,
1497,"The report profiles 158 companies including many key and niche players including major Nonwovens manufacturers such as Ahlstrom Corporation , Asahi Kasei Corporation , Buckeye Technologies , Inc. , EI .",1.0,val,,
1508,"The share capital of Biotie Therapies Corp. constitutes 90,211,860 shares in the aggregate and the number of voting rights attached to the shares amounts to 90,211,860 .",1.0,val,,
1509,The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,1.0,val,,
1518,"The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 .",1.0,val,,
1519,"The total size of the complex is around 25,000 m2 and the project will be constructed in stages .",1.0,val,,
1530,The value of the order is nearly EUR400m .,1.0,val,,
1551,This includes a EUR 39.5 mn change in the fair value of investment properties .,1.0,val,,
1568,"With five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing .",1.0,val,,
1570,"With this , the company will exit the contract manufacturing service segment .",1.0,val,,
1579,The company continued the development of a fully human antibody in its VAP-1 antibody program .,1.0,val,,
1585,`` This could be us .,1.0,val,,
1590,"A total of 15,000 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed between 17 and 23 March 2006 exercising the A-B-C options based on the company 's stock option plan 1999 .",1.0,val,,
1591,ABN : 59 087 901 620 now represent 5.10 % of the voting rights and share capital of Citycon Oyj .,1.0,val,,
1602,"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries .",1.0,val,,
1608,Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,1.0,val,,
1615,"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 .",1.0,val,,
1620,"Currently Glaston employs approximately 1,500 persons .",1.0,val,,
1622,Customers include hotels and restaurants as well as wholesalers and some retailers .,1.0,val,,
1623,"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .",1.0,val,,
1636,"Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities .",1.0,val,,
1643,"In 2007 , Etteplan had turnover of EUR125 .2 m.",1.0,val,,
1653,"In April-June 2008 , Scanfil 's net sales totalled EUR 58.7 mn and operating profit EUR 6.6 mn .",1.0,val,,
1654,"In Finland , the five largest brands control 90 % of the beer market .",1.0,val,,
1655,In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. .,1.0,val,,
1670,Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement .,1.0,val,,
1674,Marimekko is considering further measures in the matter .,1.0,val,,
1675,"Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights .",1.0,val,,
1685,No financial details of the deployment were disclosed .,1.0,val,,
1690,Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes .,1.0,val,,
1700,Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,1.0,val,,
1701,Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,1.0,val,,
1716,Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,1.0,val,,
1718,"That address also happens to house Italian megamart Eataly , meaning that `` Come on , kids , we 're going to the Toy Building ! ''",1.0,val,,
1719,"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products .",1.0,val,,
1724,"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",1.0,val,,
1744,The company has an annual turnover of EUR32 .8 m.,1.0,val,,
1758,"The customer is then forwarded to the site , and unknown to him logged in with the first number .",1.0,val,,
1760,"The decision reflects the underutilisation of the line , which produces nonwovens used in medical and wipes applications as well as for the automotive industry .",1.0,val,,
1767,The EA Reng group posted sales of approximately 84 million kroons for 2007 .,1.0,val,,
1773,"The equipment will be made at Vaahto 's plant in Hollola in Finland , and delivery is scheduled for the first quarter of 2009 .",1.0,val,,
1777,"The executive said that countries such as Brazil , Chile , Argentina and Mexico will lead the adoption in the business Ethernet services segment , while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul .",1.0,val,,
1779,The expanded plant is scheduled to be operational by the middle of October 2009 .,1.0,val,,
1781,"The facility will have a lettable area of some 19,000 sq m. The plot for the plant , located in the Ratasmaki business park , will be purchased from the City of Forssa .",1.0,val,,
1792,The markets expect Heineken to sell Hartwall as a whole or in parts .,1.0,val,,
1796,The net sales of the Power Plants business were EUR 710.3 million in 2005 .,1.0,val,,
1801,"The order consists of outsourced application management , support and planning for Tecnotree and third-party applications .",1.0,val,,
1802,The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China .,1.0,val,,
1816,"The segments through which the company operates are Frozen Food business , Seafoods , Vegetable Oil business , Grain Trading and Other business operations .",1.0,val,,
1827,The total value of the contract is some EUR 8 million .,1.0,val,,
1829,The transaction is planned to be financed with a EUR40m market-based loan granted by Standard Chartered Bank Hong Kong .,1.0,val,,
1832,The value of the contract is about EUR 27mn .,1.0,val,,
1836,The value of the contracts is about EUR 3.3 mn .,1.0,val,,
1848,To see a slide show of all the newest product releases from Fiskars .,1.0,val,,
1853,"Under the transaction agreement , Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real .",1.0,val,,
1854,"Unit prices for straddle carriers vary between EUR700 ,000 and EUR900 ,000 , the company added .",1.0,val,,
1857,"Veidekke , headquartered in Oslo , Norway , is a Scandinavian construction and property development group with some 6,350 employees in Norway , Sweden and Denmark , with an annual turnover of NOK16 .4 bn .",1.0,val,,
1860,"With the new arrangement , customer responsibilities will become mainly regional .",1.0,val,,
1865,"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",0.0,val,,
1874,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,0.0,val,,
1876,Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,0.0,val,,
1880,Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,0.0,val,,
1881,Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,0.0,val,,
1889,Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,0.0,val,,
1891,"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .",0.0,val,,
1892,The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,0.0,val,,
1904,"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",0.0,val,,
1909,The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,0.0,val,,
1911,Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .,2.0,val,,
1921,"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .",2.0,val,,
1922,Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,2.0,val,,
1931,Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year .,1.0,val,,
1942,"Alpina Sports is a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .",1.0,val,,
1949,"Huhtamaki 's rigid plastic consumer goods operations , which are mainly in Europe , will be separated into a new reporting segment as of 1 January 2009 .",1.0,val,,
1952,Mr. Kari Stadigh will carry on as Chairman of the Board and Mr. Matti Arteva as Vice-Chairman .,1.0,val,,
1965,"The company has a continuous need for alloys such as nickel , ferro-chrome , molybdenum and manganese in its production , said Talvivaara .",1.0,val,,
1984,The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website .,1.0,val,,
1988,"`` The biggest challenge was to make the piece look raw , '' Hansen said .",1.0,val,,
1994,Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary .,1.0,val,,
1995,"HELSINKI AFX - Salcomp , the mobile phone charger manufacturer , said it has appointed Markku Hangasjarvi as its new CEO , following the resignation of Mats Eriksson .",1.0,val,,
1999,Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations .,1.0,val,,
2001,"The company operates a U.S. division in Lisle , Ill. .",1.0,val,,
2007,"The product range includes marinated olives , cold cuts , and pates , for example .",1.0,val,,
2018,The situation of coated magazine printing paper will continue to be weak .,0.0,val,,
2024,Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,0.0,val,,
2025,L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,0.0,val,,
2040,Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .,0.0,val,,
2049,Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,0.0,val,,
2054,"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",0.0,val,,
2055,"` The stable outlook reflects Nokia 's strong market position in the global mobile handset market , strong cash flow generation , and very conservative balance sheet , ' said Raab .",2.0,val,,
2057,"efficiency improvement measures 20 January 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today that it will continue to improve its operational efficiency , by focusing on its profitable core operations .",2.0,val,,
2059,Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,2.0,val,,
2062,"`` After a long , unprofitable period the Food Division posted a profitable result , which speaks of a healthier cost structure and a new approach in business operations , '' Rihko said .",2.0,val,,
2064,"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow .",2.0,val,,
2066,"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of Moscow Station .",1.0,val,,
2068,"Sukhraj Dulai , of the 2900 block of Boni Sue Court , a cul-de-sac on the city 's north side , started the vehicle and went inside his house about 8 a.m. Tuesday , leaving the garage door open .",1.0,val,,
2078,He wore a black beanie-type cap and a black jacket .,1.0,val,,
2088,"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",0.0,val,,
2095,"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .",0.0,val,,
2102,"In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",0.0,val,,
2106,"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",0.0,val,,
2121,"Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier .",0.0,val,,
2128,Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,0.0,val,,
2129,Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,0.0,val,,
2132,down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,0.0,val,,
2147,"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",0.0,val,,
2158,"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .",0.0,val,,
2166,Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 .,0.0,val,,
2168,Prices and delivery volumes of broadband products decreased significantly in 2005 .,0.0,val,,
2175,The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR93 .9 m as given in the interim report on 5 August 2009 .,0.0,val,,
2195,"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 .",0.0,val,,
2196,"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",0.0,val,,
2199,"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",0.0,val,,
2200,"In the Baltic countries , sales fell by 42.6 % .",0.0,val,,
2204,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,0.0,val,,
2224,"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .",0.0,val,,
2228,"The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet .",0.0,val,,
2236,The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed .,1.0,val,,
2242,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,0.0,val,,
2250,"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .",0.0,val,,
2252,"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur .",0.0,val,,
0,,,,0.0,2.0
1,,,,0.0,2.0
2,,,,0.0,2.0
3,,,,0.0,2.0
5,,,,0.0,2.0
6,,,,2.0,1.0
7,,,,2.0,1.0
8,,,,0.0,2.0
9,,,,0.0,2.0
11,,,,0.0,2.0
12,,,,0.0,2.0
14,,,,0.0,2.0
15,,,,0.0,2.0
16,,,,0.0,2.0
17,,,,0.0,2.0
18,,,,0.0,2.0
19,,,,0.0,2.0
20,,,,0.0,2.0
21,,,,0.0,2.0
22,,,,0.0,2.0
23,,,,0.0,2.0
24,,,,0.0,2.0
25,,,,0.0,2.0
26,,,,0.0,2.0
27,,,,0.0,2.0
28,,,,0.0,2.0
29,,,,0.0,2.0
31,,,,0.0,2.0
32,,,,0.0,2.0
34,,,,0.0,2.0
36,,,,0.0,2.0
38,,,,0.0,2.0
40,,,,0.0,2.0
41,,,,0.0,2.0
42,,,,0.0,2.0
44,,,,0.0,2.0
45,,,,0.0,2.0
46,,,,0.0,2.0
48,,,,2.0,1.0
49,,,,2.0,1.0
50,,,,2.0,1.0
51,,,,2.0,1.0
52,,,,2.0,1.0
53,,,,0.0,2.0
54,,,,0.0,2.0
55,,,,0.0,2.0
57,,,,0.0,2.0
58,,,,0.0,2.0
59,,,,0.0,2.0
60,,,,1.0,0.0
61,,,,1.0,0.0
63,,,,1.0,0.0
65,,,,0.0,0.0
66,,,,0.0,2.0
68,,,,0.0,2.0
69,,,,0.0,2.0
70,,,,0.0,2.0
71,,,,0.0,2.0
72,,,,0.0,2.0
73,,,,0.0,2.0
74,,,,0.0,2.0
76,,,,0.0,2.0
77,,,,2.0,1.0
78,,,,2.0,1.0
80,,,,2.0,1.0
82,,,,2.0,1.0
83,,,,2.0,1.0
85,,,,2.0,1.0
86,,,,2.0,1.0
87,,,,2.0,1.0
88,,,,2.0,1.0
91,,,,2.0,1.0
92,,,,2.0,1.0
93,,,,2.0,1.0
94,,,,2.0,1.0
95,,,,2.0,1.0
96,,,,2.0,1.0
97,,,,2.0,1.0
98,,,,2.0,1.0
99,,,,2.0,1.0
100,,,,2.0,1.0
101,,,,2.0,1.0
102,,,,2.0,1.0
103,,,,2.0,1.0
104,,,,2.0,1.0
106,,,,2.0,1.0
108,,,,0.0,2.0
109,,,,0.0,2.0
110,,,,0.0,2.0
111,,,,2.0,1.0
112,,,,2.0,1.0
113,,,,2.0,1.0
114,,,,0.0,2.0
116,,,,2.0,1.0
117,,,,2.0,1.0
119,,,,0.0,2.0
121,,,,0.0,2.0
122,,,,0.0,2.0
123,,,,1.0,2.0
124,,,,0.0,2.0
125,,,,0.0,2.0
126,,,,0.0,2.0
127,,,,0.0,2.0
128,,,,0.0,2.0
129,,,,2.0,1.0
131,,,,2.0,1.0
132,,,,2.0,1.0
133,,,,2.0,1.0
134,,,,2.0,1.0
135,,,,2.0,1.0
136,,,,2.0,1.0
137,,,,2.0,1.0
138,,,,2.0,1.0
139,,,,2.0,1.0
140,,,,2.0,1.0
141,,,,2.0,1.0
143,,,,2.0,1.0
144,,,,2.0,1.0
146,,,,2.0,1.0
147,,,,2.0,1.0
148,,,,2.0,1.0
149,,,,2.0,1.0
151,,,,2.0,1.0
153,,,,2.0,1.0
154,,,,2.0,1.0
155,,,,2.0,1.0
156,,,,2.0,1.0
157,,,,2.0,1.0
158,,,,2.0,1.0
159,,,,2.0,1.0
160,,,,2.0,1.0
161,,,,2.0,1.0
162,,,,2.0,1.0
163,,,,2.0,1.0
164,,,,2.0,1.0
166,,,,2.0,1.0
167,,,,2.0,1.0
168,,,,2.0,1.0
169,,,,2.0,1.0
170,,,,2.0,1.0
171,,,,2.0,1.0
173,,,,2.0,1.0
175,,,,2.0,1.0
177,,,,2.0,1.0
178,,,,2.0,1.0
180,,,,2.0,1.0
181,,,,2.0,1.0
182,,,,2.0,1.0
183,,,,2.0,1.0
184,,,,2.0,1.0
185,,,,2.0,1.0
186,,,,2.0,1.0
187,,,,2.0,1.0
188,,,,1.0,1.0
189,,,,2.0,1.0
190,,,,2.0,1.0
191,,,,2.0,1.0
192,,,,2.0,1.0
194,,,,2.0,1.0
195,,,,2.0,1.0
196,,,,2.0,1.0
197,,,,2.0,1.0
198,,,,2.0,1.0
199,,,,2.0,1.0
200,,,,2.0,1.0
201,,,,2.0,1.0
202,,,,2.0,1.0
203,,,,2.0,1.0
204,,,,0.0,1.0
206,,,,2.0,1.0
207,,,,2.0,1.0
209,,,,2.0,1.0
210,,,,2.0,1.0
211,,,,2.0,1.0
212,,,,2.0,1.0
213,,,,2.0,1.0
214,,,,2.0,1.0
215,,,,2.0,1.0
216,,,,2.0,1.0
218,,,,2.0,1.0
219,,,,2.0,1.0
220,,,,2.0,1.0
221,,,,2.0,1.0
222,,,,2.0,1.0
223,,,,2.0,1.0
224,,,,2.0,1.0
226,,,,2.0,1.0
227,,,,2.0,1.0
228,,,,2.0,1.0
230,,,,2.0,1.0
232,,,,2.0,1.0
233,,,,2.0,1.0
234,,,,2.0,1.0
235,,,,2.0,1.0
236,,,,2.0,1.0
238,,,,2.0,1.0
240,,,,2.0,1.0
243,,,,2.0,1.0
244,,,,2.0,1.0
245,,,,2.0,1.0
246,,,,2.0,1.0
247,,,,2.0,1.0
248,,,,2.0,1.0
249,,,,2.0,1.0
250,,,,2.0,1.0
251,,,,2.0,1.0
252,,,,2.0,1.0
253,,,,2.0,1.0
254,,,,2.0,1.0
255,,,,2.0,1.0
256,,,,2.0,1.0
257,,,,2.0,1.0
258,,,,2.0,1.0
260,,,,2.0,1.0
261,,,,2.0,1.0
262,,,,2.0,1.0
263,,,,2.0,1.0
264,,,,2.0,1.0
265,,,,2.0,1.0
266,,,,2.0,1.0
267,,,,2.0,1.0
268,,,,2.0,1.0
269,,,,2.0,1.0
270,,,,2.0,1.0
271,,,,2.0,1.0
273,,,,2.0,1.0
274,,,,2.0,1.0
276,,,,2.0,1.0
279,,,,1.0,0.0
282,,,,1.0,0.0
283,,,,1.0,0.0
284,,,,1.0,0.0
285,,,,1.0,0.0
286,,,,1.0,0.0
287,,,,0.0,2.0
288,,,,0.0,2.0
289,,,,0.0,2.0
290,,,,2.0,1.0
291,,,,2.0,1.0
292,,,,2.0,1.0
293,,,,2.0,1.0
294,,,,2.0,1.0
295,,,,2.0,1.0
296,,,,2.0,1.0
297,,,,2.0,1.0
300,,,,2.0,1.0
301,,,,2.0,1.0
302,,,,1.0,0.0
303,,,,1.0,0.0
304,,,,1.0,0.0
305,,,,1.0,0.0
306,,,,1.0,0.0
307,,,,1.0,0.0
309,,,,0.0,2.0
310,,,,0.0,2.0
311,,,,0.0,2.0
312,,,,0.0,2.0
313,,,,2.0,1.0
315,,,,2.0,1.0
317,,,,1.0,0.0
319,,,,1.0,0.0
320,,,,1.0,0.0
321,,,,1.0,0.0
322,,,,1.0,0.0
323,,,,1.0,0.0
324,,,,1.0,0.0
325,,,,1.0,0.0
326,,,,1.0,0.0
327,,,,1.0,0.0
328,,,,1.0,0.0
329,,,,1.0,0.0
331,,,,1.0,0.0
332,,,,1.0,0.0
333,,,,1.0,0.0
334,,,,1.0,0.0
335,,,,1.0,0.0
336,,,,2.0,1.0
337,,,,2.0,0.0
338,,,,1.0,0.0
339,,,,1.0,0.0
